XML:ID	InVersion	AlsoUsedIn	nonW	InParSegs	ChapterLocators	Vol	Label	https://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll16/0/full/full/0/default.jpg	Huntington	Thumbnail	surfaceGrp	surfaceGrp type (single leaf/bifolio)	surface type (r/v)	surface type resp	surfaceGrp/surface type cert	Notes
hm924v6n1252	F					6	p. 245	https://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll16/1252/full/full/0/default.jpg	https://cdm16003.contentdm.oclc.org/digital/collection/p16003coll16/id/1252	https://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll16/1252/full/150,/0/default.jpg		single leaf	r			v 4 ps back [pencil]
hm924v6n1253	F					6	p. 246	https://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll16/1253/full/full/0/default.jpg	https://cdm16003.contentdm.oclc.org/digital/collection/p16003coll16/id/1253	https://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll16/1253/full/150,/0/default.jpg		single leaf	v			There was &c [pencil following ink text; catchwords]
hm924v6n1254	F			C-13b		6	p. 247	https://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll16/1254/full/full/0/default.jpg	https://cdm16003.contentdm.oclc.org/digital/collection/p16003coll16/id/1254	https://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll16/1254/full/150,/0/default.jpg		single leaf	r			|| [pencil (buy || books): coincides with the turn from p. 351 to p. 352 in proofsheets, which is the end of one 3-page sheet: https://cdm16003.contentdm.oclc.org/digital/collection/p16003coll16/id/1554]
hm924v6n1255	F			C-13a		6	p. 248	https://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll16/1255/full/full/0/default.jpg	https://cdm16003.contentdm.oclc.org/digital/collection/p16003coll16/id/1255	https://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll16/1255/full/150,/0/default.jpg		single leaf	v			
hm924v6n1256	F					6	p. 249	https://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll16/1256/full/full/0/default.jpg	https://cdm16003.contentdm.oclc.org/digital/collection/p16003coll16/id/1256	https://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll16/1256/full/150,/0/default.jpg		single leaf	r			
hm924v6n1257	F					6	p. 250	https://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll16/1257/full/full/0/default.jpg	https://cdm16003.contentdm.oclc.org/digital/collection/p16003coll16/id/1257	https://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll16/1257/full/150,/0/default.jpg		single leaf	v			Everyone &c [pencil in right margin after last line of ink text doesn't look like T's hand; it confirms transposition of pars marked "1" and "2"]
hm924v6n1258	F			C-18 C-19		6	p. 251	https://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll16/1258/full/full/0/default.jpg	https://cdm16003.contentdm.oclc.org/digital/collection/p16003coll16/id/1258	https://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll16/1258/full/150,/0/default.jpg		single leaf	r			
hm924v6n1259	F			C-19	The End	6	p. 252	https://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll16/1259/full/full/0/default.jpg	https://cdm16003.contentdm.oclc.org/digital/collection/p16003coll16/id/1259	https://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll16/1259/full/150,/0/default.jpg		single leaf	v			The End. [ink following ink text]
hm924v6n1260						6	Inside back cover	https://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll16/1260/full/full/0/default.jpg	https://cdm16003.contentdm.oclc.org/digital/collection/p16003coll16/id/1260	https://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll16/1260/full/150,/0/default.jpg						
hm924v6n1261						6	Back cover	https://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll16/1261/full/full/0/default.jpg	https://cdm16003.contentdm.oclc.org/digital/collection/p16003coll16/id/1261	https://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll16/1261/full/150,/0/default.jpg						
hm924v7n899						7	Front cover	https://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll16/899/full/full/0/default.jpg	https://cdm16003.contentdm.oclc.org/digital/collection/p16003coll16/id/899	https://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll16/899/full/150,/0/default.jpg						
hm924v7n900						7	Inside front cover	https://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll16/900/full/full/0/default.jpg	https://cdm16003.contentdm.oclc.org/digital/collection/p16003coll16/id/900	https://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll16/900/full/150,/0/default.jpg						
